EEG,t_EEG
-66.01154,6.31
-70.49776,6.32
-73.79375,6.33
-75.71642,6.34
-68.30042,6.35
-59.14487,6.36
-55.39109,6.37
-56.94754,6.38
-57.13065,6.39
-48.15821,6.4
-41.93243,6.41
-38.54488,6.42
-33.50932,6.43
-33.69244,6.44
-35.34044,6.45
-25.08621,6.46
-11.99377,6.47
-6.866664,6.48
-2.014222,6.49
-5.12711,6.5
-6.134221,6.51
3.112888,6.52
14.09955,6.53
22.52266,6.54
16.02222,6.55
9.979552,6.56
3.387555,6.57
-11.62755,6.58
-10.07111,6.59
-0.3662221,6.6
5.035554,6.61
5.767998,6.62
-6.866664,6.63
-19.40977,6.64
-19.77599,6.65
-14.74044,6.66
-4.394665,6.67
9.338664,6.68
14.832,6.69
11.26133,6.7
4.394665,6.71
-5.584887,6.72
-11.35289,6.73
-2.471999,6.74
12.90933,6.75
17.21244,6.76
12.36,6.77
4.760888,6.78
-6.500443,6.79
-11.07822,6.8
-8.697775,6.81
-9.979552,6.82
-11.16977,6.83
-12.17689,6.84
-13.91644,6.85
-14.46577,6.86
-18.31111,6.87
-20.14222,6.88
-15.56444,6.89
-11.26133,6.9
-4.119999,6.91
-0.6408887,6.92
-4.30311,6.93
-3.021333,6.94
-2.65511,6.95
-0.3662221,6.96
6.134221,6.97
8.514664,6.98
7.873775,6.99
4.943998,7
-0.9155553,7.01
-0.4577776,7.02
6.317331,7.03
3.204443,7.04
0.3662221,7.05
2.746666,7.06
-1.098666,7.07
-2.380444,7.08
-1.098666,7.09
2.563555,7.1
11.35289,7.11
11.81066,7.12
8.78933,7.13
10.712,7.14
7.690664,7.15
2.65511,7.16
-1.281777,7.17
-4.760888,7.18
-8.514664,7.19
-16.57155,7.2
-19.77599,7.21
-21.24088,7.22
-28.1991,7.23
-33.9671,7.24
-32.3191,7.25
-30.21332,7.26
-33.78399,7.27
-36.07288,7.28
-36.07288,7.29
-38.81955,7.3
-37.81243,7.31
-31.95288,7.32
-25.7271,7.33
-19.31822,7.34
-14.008,7.35
-13.09244,7.36
-17.304,7.37
-15.74755,7.38
-13.55022,7.39
-15.28977,7.4
-13.82488,7.41
-13.184,7.42
-10.712,7.43
-8.606219,7.44
-5.218665,7.45
0.6408887,7.46
2.746666,7.47
8.514664,7.48
13.09244,7.49
9.613331,7.5
6.042665,7.51
-0.09155553,7.52
-8.514664,7.53
-12.17689,7.54
-7.324442,7.55
-4.486221,7.56
-5.951109,7.57
0.9155553,7.58
5.310221,7.59
3.021333,7.6
-0,7.61
-2.838221,7.62
-2.929777,7.63
1.648,7.64
8.606219,7.65
8.972442,7.66
10.52889,7.67
13.00089,7.68
9.887997,7.69
0.1831111,7.7
-6.225776,7.71
-5.035554,7.72
-3.662221,7.73
3.845332,7.74
9.521775,7.75
11.71911,7.76
12.26844,7.77
5.951109,7.78
-1.739555,7.79
-9.338664,7.8
-14.46577,7.81
-16.75466,7.82
-17.48711,7.83
-19.31822,7.84
-15.38133,7.85
-5.310221,7.86
-4.028443,7.87
-10.16266,7.88
-12.26844,7.89
-7.141331,7.9
3.570666,7.91
12.17689,7.92
18.40266,7.93
26.64266,7.94
30.30488,7.95
30.85421,7.96
28.10755,7.97
24.35377,7.98
22.70577,7.99
21.51555,8
24.0791,8.01
28.29066,8.02
32.04443,8.03
37.90399,8.04
44.03821,8.05
45.31999,8.06
40.74221,8.07
33.23466,8.08
24.44533,8.09
21.97333,8.1
21.05777,8.11
18.21955,8.12
19.13511,8.13
17.39555,8.14
16.57155,8.15
12.36,8.16
3.295999,8.17
5.310221,8.18
14.64888,8.19
22.06488,8.2
31.67821,8.21
37.99554,8.22
38.17865,8.23
37.62932,8.24
31.22044,8.25
28.65688,8.26
29.66399,8.27
27.64977,8.28
29.66399,8.29
34.24177,8.3
38.63643,8.31
40.46754,8.32
42.48177,8.33
43.0311,8.34
42.11554,8.35
42.11554,8.36
42.57332,8.37
42.93954,8.38
40.92532,8.39
41.47466,8.4
41.56621,8.41
36.53065,8.42
29.20621,8.43
27.00888,8.44
40.92532,8.45
53.55998,8.46
52.82754,8.47
46.96799,8.48
31.12888,8.49
16.93777,8.5
14.832,8.51
19.50133,8.52
27.83288,8.53
35.06577,8.54
37.53777,8.55
32.59377,8.56
28.93155,8.57
30.03021,8.58
33.1431,8.59
34.88266,8.6
31.58666,8.61
24.81155,8.62
19.13511,8.63
17.76177,8.64
19.9591,8.65
28.83999,8.66
34.69955,8.67
32.22755,8.68
27.3751,8.69
16.29688,8.7
7.507553,8.71
2.471999,8.72
-3.47911,8.73
-7.873775,8.74
-13.36711,8.75
-16.38844,8.76
-19.13511,8.77
-21.79022,8.78
-23.07199,8.79
-23.62133,8.8
-22.70577,8.81
-26.36799,8.82
-35.34044,8.83
-41.65776,8.84
-40.46754,8.85
-29.8471,8.86
-14.46577,8.87
-2.471999,8.88
0.3662221,8.89
-0.6408887,8.9
-5.218665,8.91
-14.92355,8.92
-23.98755,8.93
-36.71377,8.94
-45.96088,8.95
-49.89776,8.96
-48.61599,8.97
-45.5031,8.98
-43.0311,8.99
-33.1431,9
-25.81866,9.01
-23.80444,9.02
-26.18488,9.03
-29.57244,9.04
-32.13599,9.05
-38.45332,9.06
-41.3831,9.07
-40.74221,9.08
-41.01688,9.09
-35.98132,9.1
-27.3751,9.11
-18.58577,9.12
-11.07822,9.13
-9.155553,9.14
-11.44444,9.15
-12.36,9.16
-11.81066,9.17
-13.184,9.18
-7.78222,9.19
-0.7324442,9.2
2.014222,9.21
5.493332,9.22
2.929777,9.23
-0.1831111,9.24
4.119999,9.25
10.34577,9.26
17.21244,9.27
22.61422,9.28
27.00888,9.29
28.29066,9.3
28.65688,9.31
34.88266,9.32
40.37599,9.33
45.86932,9.34
47.88354,9.35
44.12976,9.36
34.33332,9.37
24.35377,9.38
20.14222,9.39
17.48711,9.4
27.00888,9.41
40.46754,9.42
48.24976,9.43
47.42576,9.44
37.07999,9.45
32.59377,9.46
33.50932,9.47
36.71377,9.48
40.74221,9.49
39.36888,9.5
31.58666,9.51
21.14933,9.52
23.07199,9.53
28.29066,9.54
28.65688,9.55
36.34755,9.56
36.25599,9.57
26.82577,9.58
13.45866,9.59
1.739555,9.6
6.775109,9.61
11.62755,9.62
11.16977,9.63
10.25422,9.64
10.34577,9.65
8.423109,9.66
6.225776,9.67
11.16977,9.68
17.94488,9.69
23.62133,9.7
22.15644,9.71
13.36711,9.72
2.746666,9.73
-0.09155553,9.74
9.247108,9.75
24.26221,9.76
35.98132,9.77
36.53065,9.78
34.15021,9.79
29.8471,9.8
17.67022,9.81
9.063997,9.82
4.30311,9.83
3.753777,9.84
9.887997,9.85
17.39555,9.86
20.32533,9.87
14.92355,9.88
13.64177,9.89
16.48,9.9
21.14933,9.91
29.66399,9.92
34.51643,9.93
38.0871,9.94
42.02399,9.95
40.65065,9.96
36.16443,9.97
32.3191,9.98
30.12177,9.99
33.87555,10
41.74932,10.01
48.43287,10.02
52.0951,10.03
50.81332,10.04
46.87643,10.05
43.12265,10.06
36.25599,10.07
26.5511,10.08
15.28977,10.09
2.838221,10.1
1.190222,10.11
6.683554,10.12
10.16266,10.13
13.64177,10.14
10.98666,10.15
9.979552,10.16
11.99377,10.17
10.52889,10.18
10.16266,10.19
6.317331,10.2
4.394665,10.21
2.929777,10.22
-0.09155553,10.23
-0.8239998,10.24
-1.281777,10.25
-0.7324442,10.26
-0.1831111,10.27
-2.197333,10.28
-1.739555,10.29
0.7324442,10.3
-0.2746666,10.31
2.380444,10.32
7.415998,10.33
5.310221,10.34
-2.105777,10.35
-10.43733,10.36
-16.57155,10.37
-25.36088,10.38
-37.44621,10.39
-39.82666,10.4
-45.31999,10.41
-50.81332,10.42
-52.27821,10.43
-59.96887,10.44
-62.44087,10.45
-74.15998,10.46
-86.42842,10.47
-87.34397,10.48
-91.83019,10.49
-94.39375,10.5
-93.02042,10.51
-89.44975,10.52
-83.31553,10.53
-81.30131,10.54
-81.9422,10.55
-73.61064,10.56
-68.02576,10.57
-71.32175,10.58
-71.13865,10.59
-72.0542,10.6
-72.69509,10.61
-67.1102,10.62
-59.51109,10.63
-49.89776,10.64
